maths,phy,chem,mech,bee,workshop,cgpa,sgpa
51,46,42,60,62,38,7,7
43,10,30,14,9,36,2,2
69,45,49,63,72,34,7,7
50,21,36,47,57,41,5,5
76,52,47,66,70,43,8,8
35,32,38,51,56,41,4,4
72,61,57,73,63,34,8,8
40,27,33,25,49,39,4,4
80,40,59,52,68,44,8,8
69,53,55,65,65,43,7,7
57,49,55,58,55,36,7,7
30,39,22,40,26,45,3,3
37,32,19,20,12,41,2,2
41,34,47,41,45,46,6,6
47,47,43,57,61,35,7,7
68,40,35,38,51,40,5,5
58,47,52,58,54,39,7,7
67,54,56,65,70,38,7,7
48,20,33,44,20,43,3,3
49,29,43,45,51,32,5,5
45,33,44,53,45,36,5,5
28,12,30,35,13,29,1,1
75,41,55,62,80,43,8,8
48,28,50,37,45,42,4,4
10,10,14,6,8,37,2,2
27,25,27,12,15,43,2,2
83,53,44,59,76,35,8,8
55,36,41,58,45,43,6,6
22,12,28,35,43,35,1,1
80,61,55,80,64,44,9,9
37,39,44,22,41,39,4,4
48,47,52,41,68,42,6,6
36,30,51,26,33,39,3,3
35,33,48,34,37,34,2,2
58,46,49,43,55,44,6,6
59,43,42,71,66,41,7,7
67,60,64,70,34,39,7,7
42,38,39,49,59,43,6,6
58,28,35,44,45,42,5,5
38,28,45,26,31,43,3,3
54,22,39,42,35,36,4,4
64,42,49,68,71,45,7,7
50,51,64,54,49,40,7,7
33,28,33,44,42,35,3,3
62,37,36,67,56,40,7,7
47,38,39,49,42,43,5,5
41,22,39,40,35,43,4,4
81,60,58,75,85,41,9,9
56,27,32,27,11,31,2,2
75,50,40,61,57,44,7,7
52,21,30,47,35,30,4,4
64,47,56,61,53,45,7,7
70,42,46,57,34,41,6,6
66,54,54,73,77,41,8,8
46,29,42,40,44,41,4,4
48,43,49,68,59,33,6,6
83,47,50,60,66,31,7,7
10,6,52,33,22,33,2,2
70,27,20,46,52,41,4,4
65,49,56,90,79,43,8,8
40,29,22,34,42,34,3,3
83,44,41,56,41,43,7,7
50,37,43,47,49,36,6,6
45,46,47,73,47,43,7,7
77,49,52,72,83,38,8,8
47,46,55,71,52,33,7,7
52,46,51,81,53,37,7,7
64,60,49,62,53,41,7,7
80,57,46,74,58,36,7,7
27,33,33,15,25,28,1,1
80,63,68,76,65,36,9,9
51,20,47,42,45,34,5,5
85,63,61,77,78,40,9,9
55,47,43,45,49,42,6,6
69,44,38,46,56,37,6,6
69,44,61,79,67,41,8,8
49,22,41,48,24,33,4,4
52,42,43,45,60,39,6,6
42,39,45,45,43,35,5,5
61,49,51,70,51,41,7,7
67,53,54,83,74,39,8,8
90,57,65,90,73,35,9,9
67,52,52,80,62,34,8,8
46,31,37,46,46,34,5,5
79,47,53,73,49,33,7,7
77,42,43,73,78,35,8,8
60,30,28,76,41,38,6,6
71,43,44,57,37,42,6,6
85,49,54,93,69,43,8,8
49,29,43,59,28,39,4,4
74,52,55,92,84,43,9,9
83,58,44,96,68,35,8,8
23,30,28,58,42,33,3,3
62,30,40,51,65,30,6,6
87,42,41,66,63,42,7,7
62,37,40,63,64,30,6,6
72,58,48,64,71,39,8,8
90,58,61,87,85,39,9,9
68,34,45,68,43,43,6,6
33,46,47,74,73,40,6,6
35,20,33,53,11,31,3,3
80,62,66,61,72,42,9,9
80,56,55,74,69,37,8,8
43,10,31,41,21,41,3,3
46,40,42,63,45,37,6,6
36,57,58,71,69,35,7,7
43,31,34,44,21,42,4,4
45,20,33,40,19,32,4,4
32,30,42,25,27,34,3,3
73,71,71,82,84,43,9,9
86,59,60,84,68,41,9,9
45,33,40,49,26,36,5,5
60,31,40,63,46,31,6,6
72,54,63,78,82,37,9,9
69,53,59,76,71,41,8.44,8.44
53,65,63,89,78,41,9.08,9.08
84,53,50,85,69,42,8.72,8.72
45,36,36,47,40,33,5.78,5.78
73,53,63,70,33,40,7.06,7.06
32,31,41,49,41,30,4.61,4.61
73,35,34,57,24,34,5.5,5.5
81,35,36,80,78,34,8.56,8.56
70,46,53,79,66,41,8.44,8.44
78,30,37,42,45,40,6.36,6.36
71,63,60,78,54,36,8.72,8.72
87,54,56,87,85,43,9.44,9.44
72,51,64,86,68,38,8.61,8.61
58,51,36,66,68,45,7.25,7.25
47,44,52,62,54,37,7.11,7.11
78,66,66,93,83,39,9.78,9.78
46,49,44,78,75,41,7.89,7.89
82,44,51,75,68,36,8.33,8.33
63,42,38,81,66,37,7.78,7.78
73,56,52,51,44,45,7.39,7.39
60,40,36,60,53,44,7.11,7.11
64,57,47,65,60,38,7.69,7.69
78,45,41,74,70,43,8.14,8.14
49,6,27,52,29,42,4,4
48,48,57,58,47,43,7.17,7.17
62,31,36,49,50,36,6.31,6.31
56,44,52,51,61,41,7.39,7.39
58,62,63,70,68,39,8.44,8.44
29,31,30,24,38,43,3.31,3.31
86,44,40,79,89,41,8.83,8.83
49,60,43,71,67,43,7.58,7.58
88,50,69,79,65,38,8.89,8.89
58,67,53,65,35,44,6.86,6.86
83,63,58,62,72,41,9,9
76,32,45,55,58,41,7.39,7.39
49,34,32,79,60,41,7,7
66,61,58,82,79,43,9.22,9.22
71,30,47,66,67,43,7.44,7.44
84,61,69,82,65,45,9.25,9.25
56,42,43,72,62,35,7.5,7.5
68,29,30,36,27,40,3.89,3.89
34,42,38,57,50,42,5.78,5.78
57,30,53,48,43,32,6.33,6.33
81,57,54,69,61,43,8.61,8.61
33,34,33,24,19,34,1.67,1.67
54,49,52,70,75,40,8.03,8.03
46,22,32,44,19,33,2.69,2.69
88,49,64,69,79,41,8.61,8.61
71,50,45,74,69,42,8.08,8.08
83,61,57,82,72,45,9.56,9.56
73,37,39,48,47,41,6.72,6.72
61,32,46,25,25,42,4.92,4.92
62,52,60,81,65,35,8.47,8.47
61,42,52,81,74,43,7.92,7.92
51,34,48,55,65,35,6.94,6.94
53,31,46,53,32,39,5.94,5.94
60,50,48,63,69,32,7.5,7.5
94,56,60,88,87,40,9.78,9.78
65,54,63,90,86,44,9.14,9.14
70,63,47,79,68,42,8.53,8.53
73,56,54,92,69,30,8.11,8.11
63,48,52,77,71,45,8.14,8.14
68,38,36,61,50,32,6.67,6.67
59,32,38,68,57,33,6.78,6.78
94,60,50,77,88,38,9.44,9.44
62,41,46,71,52,42,7.47,7.47
70,48,57,73,65,45,8.19,8.19
76,51,56,89,80,40,9.28,9.28
97,75,73,97,98,45,10,10
52,42,56,48,55,39,7.11,7.11
59,36,45,67,51,45,7.28,7.28
32,21,21,48,45,35,4.11,4.11
8,6,12,7,9,33,1.25,1.25
44,30,51,43,64,42,6.31,6.31
35,38,59,54,51,44,7.11,7.11
38,15,36,25,18,33,2.58,2.58
37,26,12,29,33,28,1.28,1.28
7,13,30,7,31,39,2.72,2.72
70,31,58,63,51,41,7.56,7.56
82,69,67,68,86,35,9.39,9.39
64,41,61,73,76,40,8.56,8.56
44,30,41,27,26,42,4.25,4.25
28,25,35,21,21,33,2.75,2.75
54,36,53,46,75,35,7.19,7.19
72,43,54,89,72,35,8.56,8.56
62,54,40,68,80,38,8,8
3,2,2,2,4,20,0.69,0.69
35,43,35,32,45,34,4.39,4.39
55,31,37,40,46,33,4.14,4.14
20,19,33,15,26,35,2.61,2.61
47,37,54,51,55,38,6.81,6.81
51,25,45,49,35,42,5.36,5.36
54,43,44,76,52,44,7.61,7.61
54,39,54,52,54,42,7.28,7.28
32,33,44,32,45,42,4.58,4.58
28,29,46,38,47,34,3.89,3.89
59,53,52,76,60,42,8.11,8.11
1,0,0,2,0,20,0.69,0.69
28,16,36,49,34,34,3.33,3.33
63,40,48,38,56,40,6.72,6.72
37,28,51,26,44,38,3.72,3.72
37,3,14,20,20,20,1,1
62,49,44,57,58,41,7.36,7.36
21,28,17,15,15,39,2.06,2.06
40,7,22,37,24,34,2.69,2.69
78,39,56,56,52,34,7.53,7.53
13,4,21,2,9,32,0.86,0.86
47,30,29,60,13,35,4.61,4.61
40,26,36,33,11,32,3.17,3.17
67,50,52,47,67,44,7.33,7.33
46,36,36,61,49,41,6.42,6.42
43,56,43,68,73,38,7.17,7.17
45,15,41,58,46,33,5.5,5.5
85,43,49,96,74,39,8.83,8.83
33,31,35,19,40,36,4.22,4.22
31,13,14,8,16,25,2,2
60,37,40,47,62,26,6.67,6.67
51,35,42,48,76,35,7.22,7.22
41,34,34,42,48,31,5.64,5.64
66,63,59,82,64,32,8.72,8.72
30,35,55,50,57,33,6.06,6.06
67,50,62,62,67,38,8.11,8.11
73,35,49,61,57,24,6.56,6.56
54,34,41,61,27,25,5.67,5.67
23,24,25,28,46,39,3.28,3.28
42,31,32,27,53,33,4.42,4.42
5,15,31,9,47,25,3.25,3.25
70,54,44,75,71,29,8.28,8.28
65,53,57,62,63,30,8,8
59,45,36,50,44,26,6.22,6.22
76,46,67,83,63,38,8.94,8.94
46,30,43,57,41,40,6.17,6.17
79,63,43,56,68,39,8.17,8.17
63,37,46,91,68,31,7.94,7.94
74,46,55,72,57,34,7.94,7.94
66,66,61,63,65,31,8.33,8.33
86,45,53,60,63,40,8.44,8.44
73,34,34,73,76,32,7.53,7.53
37,34,33,55,56,31,6.17,6.17
59,38,45,61,64,36,7.44,7.44
78,35,39,64,31,37,6.56,6.56
59,61,52,77,61,32,8.17,8.17
42,36,51,56,43,40,6.44,6.44
56,55,64,72,74,32,8.28,8.28
63,41,50,55,60,34,7.39,7.39
22,10,31,14,22,25,1.86,1.86
32,37,58,56,47,36,5.94,5.94
26,22,34,22,41,37,3.86,3.86
40,40,53,61,54,39,6.44,6.44
62,35,36,61,52,38,7.11,7.11
48,33,33,45,40,26,5.03,5.03
42,14,26,42,45,30,3.58,3.58
81,46,56,66,68,29,7.86,7.86
70,40,55,90,48,32,7.94,7.94
60,44,35,72,58,30,7.33,7.33
85,63,59,98,71,30,9.39,9.39
51,26,46,54,61,36,6.61,6.61
68,49,56,77,65,31,8.06,8.06
33,31,37,55,28,30,4.61,4.61
75,47,45,72,65,31,8.17,8.17
42,30,40,36,42,30,4.78,4.78
82,33,39,61,55,32,7.39,7.39
57,10,36,68,27,29,4.5,4.5
87,61,58,67,82,30,9.11,9.11
23,40,56,46,54,33,6,6
49,9,40,43,10,30,4,4
75,67,58,57,66,32,8.39,8.39
59,32,41,31,55,36,5.67,5.67
62,63,56,57,52,42,7.94,7.94
72,60,58,75,52,40,8.67,8.67
23,35,43,46,39,40,4.5,4.5
63,56,55,54,55,40,7.72,7.72
8,30,19,9,14,35,1.94,1.94
8,9,9,32,9,35,1.81,1.81
54,35,37,50,38,39,5.56,5.56
32,23,39,46,39,45,4.11,4.11
52,39,45,71,49,39,7.22,7.22
25,19,12,10,12,35,2,2
49,35,31,45,51,39,5.78,5.78
56,36,30,25,35,40,4.11,4.11
59,38,41,54,52,38,6.94,6.94
54,38,42,51,45,40,6.72,6.72
22,36,39,32,33,39,3.78,3.78
22,18,43,25,34,39,3.06,3.06
62,49,65,73,60,40,8.31,8.31
51,57,53,49,51,38,7.33,7.33
13,9,10,9,18,35,1.72,1.72
50,35,33,55,52,45,6.67,6.67
31,51,53,64,61,39,6.67,6.67
32,26,39,23,29,39,3.14,3.14
38,41,57,52,35,44,5.06,5.06
44,17,25,40,22,35,2.72,2.72
32,35,30,27,28,45,2.94,2.94
56,39,50,59,53,40,7.22,7.22
47,39,35,74,52,44,7.06,7.06
31,33,36,15,21,38,2.86,2.86
47,49,45,56,36,43,5.97,5.97
65,60,60,66,71,40,8.61,8.61
14,10,36,16,32,35,2.56,2.56
72,19,37,52,62,39,6.58,6.58
36,35,38,19,40,35,3.19,3.19
28,28,35,46,34,39,3.83,3.83
16,32,33,19,26,40,3.28,3.28
55,56,51,76,57,42,7.89,7.89
41,12,22,38,27,35,2.33,2.33
35,25,41,28,37,37,2.78,2.78
49,44,52,34,49,39,5.72,5.72
59,52,56,55,54,38,7.33,7.33
32,35,44,40,18,39,4.28,4.28
57,61,55,38,61,37,6.61,6.61
82,54,45,69,22,44,7.22,7.22
72,41,56,52,61,43,7.78,7.78
62,27,33,24,57,35,5.08,5.08
84,62,60,86,81,45,9.94,9.94
73,45,60,76,60,47,8.64,8.64
64,32,31,53,51,41,6.53,6.53
51,51,50,49,63,46,7.33,7.33
50,37,45,71,42,44,7.25,7.25
85,74,66,92,91,42,10,10
80,47,49,60,70,39,8.39,8.39
78,26,50,49,52,40,6.89,6.89
49,54,55,57,57,38,7.33,7.33
22,32,33,19,21,35,3.08,3.08
64,54,60,47,40,44,6.78,6.78
47,10,33,41,27,35,3.28,3.28
49,20,37,52,45,35,4.58,4.58
85,48,54,80,66,47,8.86,8.86
57,32,42,45,45,41,6.5,6.5
60,38,35,55,52,39,6.94,6.94
72,55,58,52,40,38,6.89,6.89
52,46,49,52,48,45,7,7
58,22,34,50,24,40,5.11,5.11
52,48,47,76,59,40,7.83,7.83
76,56,55,68,83,44,8.89,8.89
54,44,48,62,57,39,7.33,7.33
51,42,39,40,52,38,5.86,5.86
45,41,27,37,33,37,3.89,3.89
55,55,51,69,52,38,7.39,7.39
19,7,10,13,13,35,1.94,1.94
48,44,44,61,77,43,7.61,7.61
67,44,54,79,53,44,8,8
76,43,56,74,73,39,8.36,8.36
34,34,45,47,38,38,4.33,4.33
71,58,53,60,63,40,8.17,8.17
61,64,45,59,49,39,7.47,7.47
52,50,19,56,60,43,6.61,6.61
50,38,25,51,43,41,5.92,5.92
69,38,39,51,75,38,7.58,7.58
50,24,32,32,54,37,4.83,4.83
55,37,37,48,50,38,6.36,6.36
52,34,46,39,62,40,6.11,6.11
77,57,64,62,55,41,8.5,8.5
62,53,40,62,51,40,7.31,7.31
50,52,41,43,47,38,6.36,6.36
52,50,50,26,50,39,5.86,5.86
60,45,55,78,72,45,8.39,8.39
81,59,58,82,76,46,9.61,9.61
66,47,57,64,62,41,7.94,7.94
46,34,43,31,36,40,4.78,4.78
40,22,34,9,41,43,4.36,4.36
62,52,55,66,63,40,7.72,7.72
60,62,58,59,54,39,7.97,7.97
60,43,50,49,52,40,6.92,6.92
52,50,56,39,55,40,6.03,6.03
63,45,37,46,22,40,5.94,5.94
44,45,33,41,30,39,3.75,3.75
50,38,39,48,39,47,5.64,5.64
34,52,44,35,57,42,5.17,5.17
51,56,50,61,51,44,7.61,7.61
41,39,51,69,52,41,6.33,6.33
8,9,6,13,13,35,1.47,1.47
53,48,56,51,39,43,6.28,6.28
40,59,59,83,59,44,7.44,7.44
55,49,35,56,43,41,6,6
46,32,36,50,35,39,4.89,4.89
42,17,32,15,20,44,3.25,3.25
34,38,36,17,30,41,3.28,3.28
69,46,56,47,56,44,7.44,7.44
73,47,51,58,56,43,7.67,7.67
31,37,21,16,26,38,2.44,2.44
30,20,17,17,25,42,2.17,2.17
64,47,40,49,52,44,6.97,6.97
43,50,37,23,28,39,4.39,4.39
39,33,36,19,15,46,3.56,3.56
48,35,31,15,34,40,4.08,4.08
15,22,15,13,16,44,2.28,2.28
50,37,37,42,33,38,5.22,5.22
69,57,48,49,40,37,6.06,6.06
33,27,23,18,47,39,3.06,3.06
50,37,50,55,48,46,6.89,6.89
23,7,18,11,18,35,1.61,1.61
69,39,47,67,60,43,7.56,7.56
57,55,49,57,57,45,7.33,7.33
53,37,37,42,51,45,6.72,6.72
20,26,14,14,20,39,2.11,2.11
49,38,45,30,32,40,4.5,4.5
40,35,48,48,51,41,5.83,5.83
46,23,18,32,32,38,2.78,2.78
57,51,49,54,57,46,7.33,7.33
63,53,55,53,62,44,7.89,7.89
52,40,40,31,63,38,6,6
68,52,63,49,60,42,7.83,7.83
53,38,38,46,36,38,5.61,5.61
63,53,58,61,64,40,8.17,8.17
31,39,34,31,42,41,4.14,4.14
44,9,11,44,29,36,3.36,3.36
59,44,43,46,56,40,6.39,6.39
85,65,62,81,84,46,10,10
70,61,58,70,62,45,8.72,8.72
58,50,50,53,56,40,7.28,7.28
33,38,51,52,52,43,6.22,6.22
35,25,39,57,36,40,4.14,4.14
13,7,9,25,14,39,1.86,1.86
34,29,36,20,15,45,2.89,2.89
61,39,21,21,48,43,5.33,5.33
51,52,49,54,50,40,7.08,7.08
74,52,58,57,55,42,7.89,7.89
40,34,33,18,25,35,4.08,4.08
65,39,40,57,37,39,6.22,6.22
58,58,58,63,70,45,8.28,8.28
61,45,52,46,51,41,7.22,7.22
39,42,36,35,41,39,4.17,4.17
58,49,37,61,52,39,7.06,7.06
25,37,21,18,28,38,2.64,2.64
24,48,41,32,26,40,4.11,4.11
59,48,51,31,52,45,5.94,5.94
66,38,47,54,46,39,7,7
61,46,60,52,73,37,7.94,7.94
62,44,49,54,65,39,7.44,7.44
21,32,39,17,43,46,4.39,4.39
66,55,45,57,65,45,7.72,7.72
74,57,52,65,53,44,8.03,8.03
51,54,47,71,60,43,7.83,7.83
50,39,51,44,50,44,6.78,6.78
24,18,33,32,28,43,2.81,2.81
51,46,48,72,49,42,7.28,7.28
52,47,50,44,38,40,5.94,5.94
55,49,46,31,62,39,6.14,6.14
69,52,57,55,52,46,7.72,7.72
55,46,60,43,49,40,6.33,6.33
67,47,37,26,53,41,6.22,6.22
23,6,17,25,12,37,1.83,1.83
52,35,43,53,49,38,6.47,6.47
76,49,51,39,65,45,6.83,6.83
41,41,42,44,43,40,5.61,5.61
17,18,27,12,30,35,1.83,1.83
29,27,34,26,35,41,2.97,2.97
52,38,53,53,65,45,7.42,7.42
64,27,40,32,35,38,4.03,4.03
20,18,18,16,14,40,2.28,2.28
50,49,34,49,51,35,6.72,6.72
48,42,41,51,58,39,6.58,6.58
50,36,41,26,39,44,4.78,4.78
44,57,44,37,56,40,5.33,5.33
33,26,41,41,60,40,4.47,4.47
53,43,39,45,55,35,6.53,6.53
60,52,36,54,51,41,7.11,7.11
64,49,29,46,44,35,5.86,5.86
88,50,52,61,73,42,8.5,8.5
29,37,49,62,23,41,5.28,5.28
82,54,57,87,83,45,9.64,9.64
45,37,50,53,46,44,6.75,6.75
8,,2,8,8,22,1.42,1.42
56,39,54,49,57,44,7.14,7.14
25,19,37,28,42,43,3.44,3.44
40,26,50,56,29,43,4.92,4.92
50,48,44,48,47,44,6.58,6.58
59,49,57,64,77,43,8.22,8.22
48,41,48,44,46,42,6.44,6.44
41,39,39,34,40,22,5.03,5.03
57,35,49,52,44,44,6.56,6.56
87,55,71,85,94,44,9.78,9.78
65,61,38,58,75,43,8.17,8.17
23,18,34,28,41,22,3.17,3.17
8,18,44,10,16,43,2.83,2.83
55,53,52,81,66,43,8.28,8.28
60,44,41,48,25,40,5.94,5.94
62,42,38,64,43,45,7.11,7.11
60,45,48,66,53,43,7.31,7.31
51,35,50,47,63,30,6.47,6.47
58,53,56,64,49,39,7.22,7.22
43,35,38,52,37,43,5.67,5.67
48,35,46,67,30,38,5.89,5.89
15,7,12,11,10,44,2.28,2.28
80,65,64,73,56,40,8.89,8.89
41,27,42,42,29,36,4.19,4.19
50,20,37,41,45,41,5.67,5.67
68,51,54,68,70,46,7.94,7.94
26,23,14,55,44,41,3.75,3.75
62,56,49,92,74,44,8.61,8.61
66,48,55,61,68,43,7.78,7.78
47,20,37,27,15,36,3.44,3.44
60,45,51,56,61,43,7.67,7.67
34,25,30,26,49,32,3.61,3.61
47,18,43,62,40,44,5.28,5.28
40,43,43,30,47,45,5.33,5.33
46,34,34,50,49,41,6.39,6.39
46,30,37,46,44,43,5.89,5.89
47,33,46,71,42,43,6.56,6.56
27,45,45,48,49,44,6,6
59,47,46,56,53,45,7.11,7.11
90,50,47,65,69,42,8.33,8.33
30,25,30,42,26,43,3.36,3.36
62,37,38,58,44,41,6.67,6.67
56,24,44,67,63,36,6.47,6.47
32,43,32,27,55,41,4.61,4.61
51,49,51,57,46,43,7.06,7.06
49,36,45,43,48,41,6.28,6.28
40,35,19,11,13,36,3.22,3.22
55,35,39,48,47,40,6.64,6.64
69,58,59,73,80,44,8.94,8.94
66,48,49,60,48,44,7.22,7.22
54,40,38,40,58,41,6.03,6.03
67,47,62,72,71,44,8.5,8.5
31,32,49,32,36,43,3.56,3.56
54,49,59,61,21,41,6.61,6.61
33,22,37,40,30,44,3.78,3.78
62,39,46,68,49,43,7.25,7.25
18,46,32,42,20,36,3.89,3.89
46,39,49,57,57,39,6.61,6.61
49,48,63,55,43,42,6.89,6.89
52,38,43,47,45,43,6.28,6.28
29,24,37,18,32,42,2.94,2.94
60,66,62,84,69,41,8.89,8.89
34,33,52,44,33,42,4.33,4.33
60,50,60,64,75,44,8.5,8.5
81,46,38,68,58,41,8.06,8.06
48,43,57,52,51,43,7.06,7.06
79,54,46,55,63,43,8.11,8.11
40,45,31,53,28,46,5.08,5.08
75,56,60,84,78,44,9.44,9.44
16,18,27,9,29,39,2.28,2.28
42,30,42,71,34,40,5.83,5.83
84,71,66,69,72,45,9.17,9.17
48,45,55,54,47,43,7.11,7.11
49,35,40,50,70,44,6.89,6.89
71,53,52,72,40,41,7.72,7.72
72,40,51,54,61,43,7.31,7.31
52,47,58,51,52,45,7.44,7.44
39,37,43,44,47,43,5.17,5.17
48,19,45,21,40,43,4.67,4.67
70,48,46,68,62,44,7.89,7.89
43,39,53,27,43,43,5.33,5.33
40,19,33,28,30,22,3.03,3.03
63,67,60,75,64,44,8.72,8.72
23,13,30,19,10,22,1.47,1.47
62,25,47,71,65,45,7.11,7.11
61,50,56,71,57,43,7.89,7.89
47,26,34,36,29,41,3.56,3.56
32,33,39,55,34,41,4.5,4.5
50,38,52,49,68,44,7.06,7.06
60,56,45,63,54,44,7.78,7.78
30,27,19,27,16,45,2.39,2.39
55,38,51,54,61,42,7.06,7.06
38,30,34,34,34,45,2.81,2.81
59,52,48,75,59,42,7.61,7.61
49,35,27,50,45,44,5.83,5.83
16,19,19,14,17,44,2.22,2.22
32,24,17,22,26,41,2.44,2.44
78,53,46,60,68,44,8.06,8.06
68,45,48,54,63,42,7.44,7.44
18,16,13,24,18,38,2.11,2.11
57,49,46,45,45,42,6.83,6.83
51,55,63,59,49,44,7.56,7.56
72,55,48,76,60,42,8.06,8.06
52,53,47,70,58,44,7.78,7.78
69,58,59,52,59,44,7.67,7.67
69,37,49,63,49,43,7.22,7.22
35,31,31,55,28,42,4.44,4.44
74,46,33,70,74,44,7.83,7.83
76,30,54,39,48,22,5.33,5.33
69,38,44,63,49,42,6.97,6.97
85,48,65,82,79,43,9.44,9.44
51,40,37,52,49,44,6.78,6.78
59,43,59,28,34,42,5.28,5.28
33,15,12,24,18,22,2.08,2.08
66,66,56,69,29,44,6.81,6.81
68,43,48,68,53,44,7.44,7.44
72,38,53,65,62,42,7.83,7.83
62,45,32,65,51,36,6.75,6.75
15,12,30,10,14,40,2.69,2.69
8,10,17,14,17,43,2.33,2.33
13,21,30,17,32,30,2.36,2.36
54,52,63,63,45,43,7.67,7.67
57,45,52,73,73,45,8,8
71,48,68,65,83,43,8.83,8.83
97,62,54,87,95,44,9.72,9.72
29,41,52,50,36,44,5.06,5.06
57,44,54,47,48,45,6.97,6.97
53,53,59,67,62,45,7.81,7.81
23,12,11,25,15,44,2.19,2.19
25,32,27,40,42,44,4,4
33,19,10,41,25,45,3,3
62,46,51,81,68,42,8.33,8.33
8,7,6,25,17,22,1.28,1.28
66,54,42,59,68,45,7.5,7.5
52,38,29,50,34,44,5.33,5.33
26,33,23,34,25,45,2.83,2.83
33,33,38,42,50,44,5.33,5.33
64,56,62,78,74,43,8.72,8.72
51,43,56,45,48,44,6.94,6.94
41,18,30,22,21,22,2.78,2.78
51,46,50,55,59,44,7.33,7.33
55,57,51,45,48,44,7.22,7.22
44,38,35,53,46,45,6.25,6.25
46,36,41,43,57,45,6.39,6.39
28,32,22,21,20,45,2.97,2.97
50,50,38,65,55,42,6.97,6.97
71,54,56,87,68,45,8.72,8.72
50,50,42,56,46,43,7.06,7.06
62,29,37,46,50,45,6.33,6.33
52,55,53,57,67,44,7.25,7.25
23,24,40,41,31,45,3.64,3.64
13,8,11,8,9,22,1,1
58,40,50,59,62,45,7.17,7.17
34,38,39,43,58,45,5.53,5.53
40,24,36,24,20,45,3.75,3.75
40,6,6,9,8,22,1.83,1.83
54,52,56,71,66,44,7.94,7.94
77,57,47,67,52,44,8.06,8.06
73,57,51,74,83,45,8.53,8.53
57,43,54,60,56,44,7.33,7.33
32,36,24,28,23,44,2.89,2.89
28,22,33,40,42,44,4.25,4.25
54,52,51,52,68,45,7.5,7.5
47,26,30,58,43,45,5.28,5.28
77,47,58,70,69,43,8.22,8.22
54,40,39,46,47,45,6.67,6.67
54,43,46,75,53,44,7.72,7.72
60,51,49,83,53,43,8,8
40,32,27,31,27,42,3.39,3.39
45,38,49,46,52,43,6.58,6.58
71,68,64,55,78,43,8.67,8.67
33,35,36,39,45,42,4.28,4.28
42,26,35,49,49,42,5.33,5.33
29,21,36,48,33,39,3.61,3.61
46,40,29,61,49,43,6.36,6.36
51,41,38,46,49,41,6.28,6.28
29,39,48,28,45,43,4.5,4.5
31,26,34,33,27,43,2.81,2.81
30,25,36,38,28,39,2.97,2.97
41,46,36,46,51,43,6.25,6.25
45,25,36,58,52,45,6,6
69,54,46,56,52,43,7.5,7.5
70,60,61,56,70,42,8.5,8.5
33,16,33,20,8,42,2.42,2.42
51,48,49,66,68,43,7.39,7.39
63,54,59,77,77,44,8.72,8.72
52,35,36,53,56,39,6.36,6.36
57,49,55,59,58,43,7.08,7.08
19,34,41,34,27,40,3.33,3.33
61,38,47,54,54,42,7.25,7.25
73,39,60,71,63,43,8.33,8.33
37,24,42,45,49,30,4.31,4.31
40,32,34,56,50,36,5.86,5.86
50,59,47,64,61,44,7.81,7.81
35,24,38,52,47,38,5,5
56,48,50,64,21,32,6.28,6.28
26,21,40,37,33,44,3.14,3.14
74,50,37,60,62,41,7.69,7.69
73,40,46,58,37,40,6.33,6.33
35,26,26,33,34,43,2.31,2.31
77,45,58,84,86,43,9.36,9.36
65,38,53,71,40,43,6.83,6.83
10,10,18,13,27,30,2,2
48,53,43,56,44,36,6.61,6.61
52,47,53,58,72,39,7.53,7.53
44,29,39,37,46,42,4.61,4.61
68,40,35,64,60,41,7.36,7.36
31,19,32,27,27,43,2.61,2.61
29,25,41,34,24,44,2.83,2.83
28,35,17,26,21,36,2.56,2.56
36,23,38,34,33,43,3.11,3.11
49,45,43,61,51,43,7,7
23,17,38,27,40,44,3.53,3.53
82,53,46,71,79,45,8.94,8.94
29,35,47,44,42,42,4.92,4.92
40,33,24,36,42,43,4,4
30,24,24,28,18,40,2.25,2.25
33,15,17,18,12,44,2.33,2.33
87,60,68,84,69,44,9.5,9.5
40,50,58,72,64,43,7.42,7.42
83,60,61,58,63,42,8.75,8.75
48,48,54,57,55,44,6.83,6.83
45,53,49,61,49,43,6.94,6.94
74,48,59,58,66,44,8.06,8.06
44,37,31,66,48,40,6.22,6.22
44,48,44,61,44,38,6.17,6.17
62,53,56,61,54,42,7.42,7.42
33,34,50,65,51,43,6.11,6.11
15,16,34,17,23,30,2.47,2.47
53,40,21,19,9,32,3.47,3.47
30,34,40,38,43,45,4.42,4.42
40,44,43,33,40,36,4.58,4.58
65,51,56,62,69,43,7.89,7.89
37,36,44,41,52,44,4.83,4.83
48,45,58,58,59,43,7.31,7.31
51,26,38,63,53,43,6.39,6.39
52,54,51,22,43,43,5.64,5.64
40,36,39,49,42,43,5.78,5.78
45,41,48,59,48,41,6.67,6.67
68,62,54,80,63,42,8.5,8.5
52,32,42,34,14,43,4.47,4.47
43,35,43,72,39,42,5.64,5.64
39,23,35,37,47,45,3.78,3.78
41,29,39,54,47,38,5.14,5.14
29,38,43,35,51,42,4.72,4.72
54,35,43,25,60,43,5.83,5.83
40,36,39,27,45,41,5,5
21,20,38,24,52,40,4.17,4.17
22,23,33,43,24,44,3.5,3.5
48,18,26,40,44,42,4.08,4.08
31,15,21,29,15,40,2.17,2.17
